1 1 2 1 2
1 2 3 3 4 5
1 3 3 6 7 8
1 4 3 7 8 9
1 5 3 10 11 12
2 1 2 1 2
2 2 3 3 4 5
2 3 3 6 7 8
2 4 3 7 8 13
2 5 3 6 11 14
2 6 3 11 14 15
3 1 2 1 2
3 2 3 3 4 5
3 3 3 6 7 8
3 4 3 7 8 16
3 5 3 11 17 18
3 6 3 6 19 20
4 1 2 2 21
4 2 3 3 4 22
4 3 3 6 7 8
4 4 3 7 8 13
4 5 3 6 11 14
4 6 3 11 14 15
4 7 3 3 4 22
4 8 3 6 7 8
4 9 3 3 4 22
4 10 3 6 7 8
4 11 3 7 8 13
4 12 3 6 11 14
4 13 3 11 14 15
5 1 2 1 2
5 2 3 3 4 5
5 3 3 6 7 8
5 4 3 7 8 23
5 5 3 11 13 24
5 6 3 14 15 19
5 7 3 11 17 24
5 8 3 9 19 20
5 9 3 10 12 25
5 10 3 9 19 20
5 11 3 10 12 25
6 1 2 2 26
6 2 3 4 23 27
6 3 3 7 13 24
6 4 3 11 14 15
6 5 3 7 17 24
6 6 3 9 11 20
6 7 3 10 12 19
6 8 3 6 11 20
7 1 2 1 2
7 2 3 3 4 5
7 3 3 6 7 8
7 4 3 7 8 23
7 5 3 11 17 24
7 6 3 9 19 20
7 7 3 10 12 25
7 8 3 3 4 5
7 9 3 6 7 8
7 10 3 7 8 23
7 11 3 11 17 24
7 12 3 9 19 20
7 13 3 10 12 25
7 14 3 3 4 5
7 15 3 6 7 8
7 16 3 7 8 23
7 17 3 11 17 24
7 18 3 9 19 20
7 19 3 10 12 25
8 1 2 2 26
8 2 3 4 27 28
8 3 3 7 13 29
8 4 3 6 11 14
8 5 3 11 14 15
8 6 3 7 29 30
8 7 3 11 31 32
8 8 3 15 19 33
8 9 3 11 31 32
8 10 3 15 19 33
9 1 2 2 26
9 2 3 4 27 28
9 3 3 7 13 29
9 4 3 6 11 14
9 5 3 11 14 15
9 6 3 6 7 29
10 1 2 2 34
10 2 3 4 6 35
10 3 3 4 35 36
10 4 3 6 7 37
10 5 3 4 35 38
10 6 3 7 39 40
10 7 3 11 41 42
10 8 3 6 19 43
10 9 3 19 43 44
11 1 2 2 26
11 2 3 4 23 27
11 3 3 7 13 24
11 4 3 6 11 14
11 5 3 11 14 15
11 6 3 7 17 24
11 7 3 11 20 23
11 8 3 13 19 24
11 9 3 6 14 25
11 10 3 14 15 25
11 11 3 17 19 24
11 12 3 20 25 30
11 13 3 31 32 45
11 14 3 15 33 46
12 1 2 2 34
12 2 3 4 6 35
12 3 3 4 35 36
12 4 3 6 7 37
12 5 3 6 7 37
12 6 3 4 35 38
12 7 3 7 21 40
12 8 3 3 11 22
12 9 3 6 8 19
12 10 3 8 19 41
12 11 3 25 41 43
12 12 3 9 43 45
12 13 3 10 12 46
12 14 3 13 43 45
12 15 3 14 15 46
12 16 3 9 25 43
12 17 3 10 12 45
12 18 3 7 26 40
12 19 3 11 23 27
12 20 3 13 19 24
12 21 3 6 14 25
12 22 3 14 15 25
12 23 3 17 19 24
12 24 3 6 20 25
12 25 3 7 21 40
12 26 3 3 11 22
12 27 3 6 8 19
12 28 3 8 19 41
12 29 3 9 25 43
12 30 3 10 12 45
12 31 3 9 25 43
12 32 3 10 12 45
12 33 3 7 26 40
12 34 3 11 23 27
12 35 3 13 19 24
12 36 3 6 14 25
12 37 3 14 15 25
12 38 3 17 19 24
12 39 3 6 20 25
12 40 3 20 25 47
12 41 3 13 45 48
12 42 3 14 15 46
13 1 2 1 2
13 2 3 3 4 5
13 3 3 6 7 8
13 4 3 7 8 23
13 5 3 11 13 24
13 6 3 6 14 19
13 7 3 14 15 19
13 8 3 11 17 24
13 9 3 6 19 20
14 1 2 2 34
14 2 3 4 6 35
14 3 3 4 35 36
14 4 3 6 7 37
14 5 3 4 35 38
14 6 3 1 7 40
14 7 3 3 5 11
14 8 3 6 8 19
14 9 3 7 26 40
14 10 3 11 27 28
14 11 3 13 19 29
14 12 3 6 14 25
14 13 3 14 15 25
14 14 3 13 19 29
14 15 3 6 14 25
14 16 3 14 15 25
14 17 3 7 26 40
14 18 3 11 23 27
14 19 3 13 19 24
14 20 3 6 14 25
14 21 3 14 15 25
14 22 3 17 19 24
14 23 3 9 20 25
14 24 3 10 12 45
15 1 2 2 21
15 2 3 3 4 22
15 3 3 6 7 8
15 4 3 7 8 23
15 5 3 11 17 24
15 6 3 9 19 20
15 7 3 10 12 25
16 1 2 2 21
16 2 3 3 4 22
16 3 3 6 7 8
16 4 3 7 8 30
16 5 3 11 31 32
16 6 3 15 19 33
17 1 2 1 2
17 2 3 3 4 5
17 3 3 6 7 8
17 4 3 7 8 13
17 5 3 11 14 15
17 6 3 3 4 5
17 7 3 6 7 8
17 8 3 7 8 44
18 1 2 2 23
18 2 3 4 13 24
18 3 3 6 7 14
18 4 3 7 14 15
18 5 3 4 17 24
18 6 3 7 9 20
18 7 3 10 11 12
18 8 3 7 20 47
18 9 3 9 11 48
18 10 3 10 12 19
19 1 2 2 26
19 2 3 4 23 27
19 3 3 7 13 24
19 4 3 6 11 14
19 5 3 11 14 15
19 6 3 7 17 24
19 7 3 11 20 49
20 1 2 1 2
20 2 3 3 4 5
20 3 3 6 7 8
20 4 3 7 8 30
20 5 3 11 31 32
20 6 3 15 19 33
20 7 3 9 19 33
20 8 3 10 12 25
20 9 3 11 31 32
20 10 3 15 19 33
20 11 3 19 30 33
20 12 3 25 31 32
20 13 3 15 33 45
20 14 3 30 33 45
20 15 3 31 32 46
20 16 3 15 33 50
20 17 3 9 33 50
20 18 3 10 12 51
20 19 3 25 31 32
20 20 3 15 33 45
20 21 3 30 33 45
20 22 3 31 32 46
20 23 3 15 33 50
20 24 3 9 33 50
20 25 3 10 12 51
21 1 2 2 26
21 2 3 4 23 27
21 3 3 7 13 24
